Year,Company/Brand,HeadQuarter,Sector,Amount($),Stage
2018,TheCollegeFever,Bangalore,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",250000.0,Seed
2018,Happy Cow Dairy,Mumbai,"Agriculture, Farming",1350000.0,Seed
2018,MyLoanCare,Gurgaon,"Credit, Financial Services, Lending, Marketplace",1350000.0,Series A
2018,PayMe India,Noida,"Financial Services, FinTech",2000000.0,Angel
2018,Eunimart,Hyderabad,"E-Commerce Platforms, Retail, SaaS",1350000.0,Seed
2018,Hasura,Bangalore,"Cloud Infrastructure, PaaS, SaaS",1600000.0,Seed
2018,Tripshelf,Kalkaji,"Internet, Leisure, Marketplace",1350000.0,Seed
2018,Hyperdata.IO,Hyderabad,Market Research,1350000.0,Angel
2018,Freightwalla,Mumbai,"Information Services, Information Technology",1350000.0,Seed
2018,Microchip Payments,Bangalore,Mobile Payments,1350000.0,Seed
2018,BizCrum Infotech Pvt. Ltd.,Delhi,"B2B, Shoes",1350000.0,Seed
2018,Emojifi,Bangalore,Internet,1350000.0,Seed
2018,Flock,India,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",1350000.0,Seed
2018,Freshboxx,Hubli,Food Delivery,1350000.0,Seed
2018,Wide Mobility Mechatronics,Bangalore,Industrial Automation,1350000.0,Seed
2018,Pitstop,Bangalore,"Automotive, Search Engine, Service Industry",1350000.0,Seed
2018,Mihuru,Mumbai,"Finance, Internet, Travel",150000.0,Seed
2018,Fyle,Bangalore,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",1100000.0,Seed
2018,AppWharf,New Delhi,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",1350000.0,Seed
2018,Antariksh Waste Ventures Pvt ltd,Chennai,"Internet of Things, Waste Management",1350000.0,Seed
2018,Cogoport,Mumbai,"Air Transportation, Freight Service, Logistics, Marine Transportation",6000000.0,Series A
2018,PaisaDukan,Mumbai,Financial Services,650000.0,Seed
2018,Sleepy Owl Coffee,New Delhi,Food and Beverage,1350000.0,Seed
2018,BlueJack,Delhi,Autonomous Vehicles,1350000.0,Seed
2018,PregBuddy,Bangalore,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",1350000.0,Seed
